Company Name,Orbit,Challenge Area,Industry,Business Model,Website,Featured,Description,Investors,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
Advanced Microgrid Solutions,Assurance,Resources,cleantech|energy,B2B,http://advmicrogrid.com,,"Advanced Microgrid Solutions (AMS) is pioneering the use of energy storage systems for electric utility grid support. Using a technology-agnostic approach, the company designs, finances, installs and manages advanced energy storage solutions for commercial, industrial and government building owners.",ENGIE (formerly GDF SUEZ)|DBL Investors,341,4,234,-15,https://mattermark.com/app/data/11015898/,No,,,,clean energy|sustainability,18,15,3,20,,,,136,275,-51,255,-47,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2012,A,18000000,7/13/2015,18000000,bay area,san francisco,bay area,CA,usa,NA,No,3,5,3600000
Aero Glass,Assurance,Resources,transportation,B2B|B2C,http://glass.aero,,,,175,3,175,15,https://mattermark.com/app/data/271016/,No,,,,aerospace|augmented reality|defense,5,5,0,0,3,2,67,263,281,-6,208,26,,,,,,,672,,,,,0,0,,16,3,433,3009,3004,0,2975,1,14,14,0,7,62,-89,192,191,1,188,2,1/1/2014,Pre Series A,100000,5/1/2014,100000,,,,,,,No,18,19,5263.16
AirMap,Assurance,Resources,network / hosting / infrastructure|transportation,B2B|B2C,http://airmap.io,,Drone airspace mapping company,Lux Capital|The Social+Capital Partnership|Bullpen Capital|TenOneTen Ventures|Legend Capital|Haystack Fund,117,2,69,47,https://mattermark.com/app/data/10969670/,No,,,,aerospace|databases,5,4,1,25,,,,1285,1244,3,935,37,,,,,,,7,,,,,,,,,,,74,71,4,62,19,4,4,0,1,1,0,,,,,,1/1/2014,Pre Series A,2600000,7/28/2015,2600000,los angeles,santa monica,los angeles,CA,usa,NA,No,3,4,650000
Airware,Assurance,Resources,drones|enterprise software|hardware|transportation,B2B,http://airware.com,,"Hardware, Software and Cloud Services for Commercial Drones",Y Combinator|GE Ventures|Intel Capital|Fresh VC|Andreessen Horowitz|Google Ventures|Kleiner Perkins Caufield & Byers|Andreessen Horowitz|First Round Capital|YC Winter 2013,404,14,313,37,https://mattermark.com/app/data/118194/,No,,,,aerospace|development platform|pioneer250,92,94,-2,-2,80,12,15,14445,15089,-4,12447,16,,,,,,,807,,,1,80600,0,0,,0,1,-100,1527,1521,0,1484,3,13,11,18,22,16,38,1622,1592,2,1497,8,1/1/2011,Late,35980000,4/17/2015,0,bay area,san francisco,bay area,CA,usa,NA,No,6,67,0
Allryder,Safety,Mobility & Logistics,mobile|transportation,B2B|B2C,http://allryder.com,,"Discover all transit options: metro, bahn, tube, bus, tram, bike share, car share and taxi in one simple app. Conquer urban transport in Berlin, Munich, London",,166,17,166,2,https://mattermark.com/app/data/231490/,No,,,,android|iphone,33,29,4,14,25,8,32,5,19,-74,145,-97,,,,,,,1089,,,,,40,37,8,130,169,-23,5254,5231,0,5221,1,112,72,56,53,89,-40,142,140,1,132,8,1/1/2014,Pre Series A,2000000,1/2/2014,2000000,berlin,berlin,,,deu,EU,No,22,150,13333.33
Alphabet Energy,Assurance,Resources,agriculture|cleantech|energy,B2B,http://alphabetenergy.com,,Alphabet Energy is a leading innovator in the field of waste heat recovery and manufactures the world's first low cost thermoelectric generator.,Claremont Creek Ventures|TPG Biotech|Claremont Creek Ventures|Claremont Creek Ventures|TPG Biotech|Hercules Technology Growth Capital,137,19,100,293,https://mattermark.com/app/data/37725/alphabet-energy,No,,,,,40,38,2,5,37,3,8,583,613,-5,467,25,,,,,,,864,,,,,6,5,20,11,15,-27,79,75,5,30,163,13,8,63,6,3,100,1234,1159,6,922,34,1/1/2009,B,31000000,3/11/2013,16000000,bay area,san francisco,bay area,CA,usa,NA,No,32,254,62992.13
Altaeros Energies,Assurance,Resources,agriculture|cleantech|energy,B2B,http://altaerosenergies.com,,"Altaeros Energies develops airborne wind turbine to produce abundant, low cost, renewable energy.",SoftBank Group|MassChallenge 2011,148,14,112,39,https://mattermark.com/app/data/118583/altaeros-energies,No,,,,defense,25,25,0,0,20,5,25,2102,2455,-14,2359,-11,,,,,,,511,,,,,2,5,-60,17,86,-80,1896,1888,0,1860,2,17,14,21,6,13,-54,3697,3622,2,3304,12,1/1/2010,A,7000000,12/4/2014,7000000,boston,boston,boston,MA,usa,NA,No,11,109,64220.18
AMPY,Assurance,Resources,cleantech|energy|fitness and wellness|hardware|internet of things|mobile,B2C,http://getampy.com,,AMPY is a wearable kinetic energy charger that uses the power you generate by being active to charge your mobile devices such as your smartphone.,NewGen Venture Partners|Clean Energy Trust|Clean Energy Trust,171,0,171,37,https://mattermark.com/app/data/10899238/,No,,,,,7,7,0,0,4,3,75,6286,7487,-16,8221,-24,,,,,,,970,,,,,10,75,-87,175,462,-62,2523,2492,1,2455,3,40,40,0,32,27,19,5,,,,,1/1/2014,Pre Series A,950000,10/22/2015,875000,chicago,chicago,,IL,usa,NA,No,0,,0
Anagog,Safety,Mobility & Logistics,mobile|transportation,B2B,http://anagog.com,,A parking solution by monitoring mobile phonesâ€™ sensors.,Avi Shechter|Dan Vilenski,137,4,118,0,https://mattermark.com/app/data/303546/,No,,,,,4,3,1,33,1,3,300,33,72,-54,135,-76,,,,,,,34,,,,,0,0,,0,35,-100,52,50,4,44,18,2,,,2,,,18,16,13,12,50,,Pre Series A,1000000,12/3/2014,1000000,ramat gan,ramat gan,,,isr,AS,No,11,17,58823.53
Aquicore,Assurance,Resources,cleantech|energy|enterprise software|real estate,B2B|SaaS,http://aquicore.com,,"Aquicore is an energy intelligence solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties.",Acceleprise Ventures|Marc Benioff|1776 Investments|Efficient Corporate|Acceleprise DC Cohort 2,109,1,109,143,https://mattermark.com/app/data/178992/aquicore,No,,,,sustainability,39,38,1,3,26,13,50,1080,652,66,165,555,,,,,,,494,,,,,4,4,0,25,58,-57,413,411,0,407,1,7,5,40,55,24,129,212,207,2,197,8,1/1/2013,Pre Series A,3100000,9/2/2015,3100000,washington d.c.,washington d.c.,washington d.c.,DC,usa,NA,No,2,1,3100000
Arcadia Power,Assurance,Resources,cleantech|energy|human resources hr,B2B|B2C,http://arcadiapower.com,,Clean energy made simple,,336,6,294,542,https://mattermark.com/app/data/10383786/,No,,,,big data|clean energy,12,11,1,9,6,6,100,17467,17939,-3,14539,20,,,,,,,380,,,,,,,,,,,7359,7128,3,,,262,235,11,,,,37,35,6,29,28,1/1/2013,Pre Series A,500000,9/1/2014,500000,washington d.c.,washington d.c.,washington d.c.,DC,usa,NA,No,14,25,20000
Astro,Assurance,Built Environment,hardware|internet of things,B2C,http://hellotwist.com,,Astro makes the connected home easier and more accessible than ever before through their product Twist,Techstars|Lerer Hippeau Ventures|Crosslink Capital|Winklevoss Capital|Zelkova Ventures|Maiden Lane Ventures|Rugged Ventures|R/GA 2015,437,-1,447,787,https://mattermark.com/app/data/291067/,No,,,,consumer electronics|internet of things|wireless,4,4,0,0,3,1,33,34407,29933,15,17086,101,,,,,,,660,,,,,5,3,67,11,35,-69,10680,9825,9,7546,42,928,928,0,572,521,10,42,40,5,36,17,1/1/2014,Pre Series A,3000000,6/24/2015,3000000,new york,new york,new york,NY,usa,NA,No,4,1,3000000
August,Assurance,Built Environment,consumer electronics|hardware|internet of things|physical security|security,B2C,http://august.com,,"August is the maker of the August Smart Lock, the safe, simple, and social way for people to share access to their home",Founders Den|CAA Ventures|Fuseproject|Bessemer Venture Partners|Comcast Ventures|Qualcomm Ventures|Cowboy Ventures|Industry Ventures|Rho Ventures|SoftTech VC|Philip Kaplan|Matt Mullenweg|Jay Adelson|Zack Bogue|Matt Ocko|Rick Marini|Mike Marquez|David Spector|Nicholas Negroponte|Tony Conrad|SoftTech VC|Cowboy Ventures|Center Electric|Dolby Family Ventures|QueensBridge Venture Partners|CAA Ventures|Quotidian Ventures|Maveron|SoftTech VC|Rho Ventures|Industry Ventures|Cowboy Ventures,767,45,502,49,https://mattermark.com/app/data/151840/august,No,,,,consumer electronics|internet of things|pioneer250,72,66,6,9,39,33,85,223762,223907,0,214120,5,,1136,,1136,,0,6578,,,,,95,126,-25,647,558,16,10296,10246,0,10049,2,71,105,-32,56,303,-82,550,537,2,497,11,1/1/2012,B,48000000,3/25/2015,38000000,bay area,san francisco,bay area,CA,usa,NA,Yes,7,179,212290.5
Aunt Bertha Software,Core,Government,enterprise software|government,B2B|SaaS,http://auntbertha.com,,Aunt Bertha enables individuals to find and apply for government and charitable social service programs.,Code for America Accelerator,73,,55,5,https://mattermark.com/app/data/136886/aunt-bertha-software,No,,,,,14,13,1,8,10,4,40,573,635,-10,881,-35,,,,,,,2093,,,,,5,1,400,15,240,-94,1234,1230,0,1226,1,9,6,50,4,2,100,100,99,1,95,5,1/1/2010,Pre Series A,0,,,austin,austin,austin,TX,usa,NA,No,,,
Autogrid,Assurance,Resources,analytics|cleantech|energy|internet of things,B2B,http://auto-grid.com,,AutoGrid Systems organizes energy data and employs big data analytics to generate real-time predictions that create actionable data.,Voyager Capital|Foundation Capital|Voyager Capital|Foundation Capital|Stanford University,146,12,116,0,https://mattermark.com/app/data/102225/,No,,,,internet of things|smart grid,43,46,-3,-7,44,-1,-2,428,471,-9,484,-12,,,,,,,462,,,,,0,3,-100,7,9,-22,366,364,1,363,1,1,1,0,2,1,100,695,690,1,673,3,1/1/2011,C,21750000,1/27/2014,12750000,bay area,redwood shores,bay area,CA,usa,NA,No,21,203,62807.88
Automatic Labs,Safety,Mobility & Logistics,automotive|hardware|mobile,B2B|B2C,http://automatic.com,,"The Automatic app and plug-in car adapter turns just about any car into a connected car. Diagnose check engine codes, get driving feedback, mileage tracking and expensing, emergency service in a crash, and more. Explore the Automatic App Gallery to find an app for any driver.",Amicus Capital|Y Combinator|RPM Ventures|Lumia Capital|USAA|Comcast Ventures|Y Combinator|RPM Ventures|Anthemis|Amicus Capital|Mark Goines|Jared Kopf|Dan Rose|YC Summer 2011,433,6,355,2,https://mattermark.com/app/data/123028/automatic,No,,,,big data|pioneer250,69,69,0,0,56,13,23,368066,369431,0,440030,-16,,113,,678,,0,8246,,,,,95,72,32,443,85,421,29138,29123,0,29114,0,47,64,-27,40,93,-57,1343,1333,1,1301,3,1/1/2011,B,24000000,6/25/2015,24000000,bay area,san francisco,bay area,CA,usa,NA,Yes,4,16,1500000
Azure Power,Assurance,Resources,cleantech|energy|solar power,B2B,http://azurepower.com,,"Azure Power produces and distributes solar power to commercial, government and utility customers in India.",Foundation Capital|Helion Venture Partners,203,67,76,0,https://mattermark.com/app/data/18557/,No,,,,,138,130,8,6,106,32,30,2271,2595,-12,2670,-15,,,,,,,90,,,,,1,0,,2,5,-60,35,35,0,35,0,,,,,,,1998,1980,1,1923,4,1/1/2008,A,13600000,11/22/2011,13600000,new delhi,new delhi,,,ind,AS,No,47,654,20795.11
Bandwagon,Safety,Mobility & Logistics,e-commerce|mobile|transportation|travel,B2C,http://bandwagon.io,,Share cabs from your phone with Bandwagon,,118,-2,118,5,https://mattermark.com/app/data/161863/,No,,,,android|collaborative consumption,13,13,0,0,15,-2,-13,183,163,12,161,14,,538,,538,,0,,,,,,0,0,,0,0,,724,723,0,723,0,2,3,-33,1,8,-88,130,129,1,123,6,1/1/2009,Pre Series A,725000,11/10/2014,425000,new york,new york,new york,NY,usa,NA,Yes,12,16,26562.5
BBOXX,Assurance,Resources,energy|enterprise software,B2B|B2C,http://bboxx.co.uk,,"BBOXX designs, manufactures, and distributes plug and play solar systems.",Bamboo Finance|Stichting DOEN|Khosla Ventures,169,28,-4,10,https://mattermark.com/app/data/215780/,No,,,,,92,83,9,11,66,26,39,2312,2928,-21,3855,-40,,,,,,,0,,,,,0,0,,0,9,-100,2757,2754,0,2727,1,25,24,4,10,67,-85,503,490,3,461,9,1/1/2010,B,4900000,3/13/2015,3000000,london,london,london,,gbr,EU,No,7,83,36144.58
Bidgely,Assurance,Resources,analytics|energy|internet of things,B2B|B2C,http://bidgely.com,,Bidgely is a disruptive technology company developing an energy monitoring and management solution for eco-friendly energy saving.,Constellation Technology Ventures|Khosla Ventures|Khosla Ventures|Khosla Ventures,314,0,255,-5,https://mattermark.com/app/data/102192/,No,,,,clean energy|sustainability,45,43,2,5,30,15,50,40686,45154,-10,68101,-40,,,,,,,576,,,,,1,1,0,7,31,-77,807,774,4,772,5,4,,,3,4,-25,3447,3421,1,3244,6,1/1/2010,B,24600000,11/2/2015,16600000,bay area,sunnyvale,bay area,CA,usa,NA,No,0,,0
Birdi,Assurance,Built Environment,hospitality|internet of things,B2B|B2C,http://birdi.io,,"Better than a smoke detector. Tracks air quality, everyday health hazards like pollution, humidity or emergencies like fire & carbon monoxide to help you stay connected & protected in your home.",,66,1,66,6,https://mattermark.com/app/data/217123/,No,,,,big data|health & wellness|internet of things,3,3,0,0,2,1,50,11,8,38,6,83,,,,,,,1589,,,,,7,7,0,26,28,-7,,,,,,,,,,,,91,90,1,87,5,1/1/2013,Pre Series A,700000,7/28/2014,700000,new york,brooklyn,new york,NY,usa,NA,No,15,5,140000
Bitlock,Safety,Mobility & Logistics,hardware|transportation,B2C,http://bitlock.co,,Lock and unlock your bike seamlessly at press of a button with Bitlock. Bitlocls lets you share the location and access of your bike with your loved ones,,56,,56,-349,https://mattermark.com/app/data/255472/,No,,,,collaborative consumption,6,6,0,0,7,-1,-14,1948,1961,-1,1846,6,,,,,,,664,,,,,,,,,,,928,927,0,916,1,6,12,-50,8,6,33,24,23,4,21,14,1/1/2013,No Known Funding,,,,bay area,san francisco,bay area,CA,usa,NA,No,,,
BlocPower,Assurance,Resources,energy|internet of things,,http://blocpower.org,,"BlocPower Creates Jobs, CO2 Reductions, Energy Bill Savings, and Financial Returns in American Inner Cities.",,-25,,-25,30,https://mattermark.com/app/data/10955060/,No,,,,,,,,,,,,39,54,-28,68,-43,,,,,,,,,,,,,,,,,,182,179,2,160,14,2,1,100,1,1,0,,,,,,,Pre Series A,0,,,,,,,,,No,,,
Blue Pillar,Assurance,Resources,energy|internet of things,B2B,http://bluepillar.com,,Blue pillar is a leading provider of power and energy management solutions specifically for critical and complex facilities.,Allos Ventures|EnerTech Capital|Maryland Venture Fund|Allos Ventures|Arsenal Venture Partners|Claremont Creek Ventures|Claremont Creek Ventures|Arsenal Venture Partners|Allos Ventures,194,21,47,0,https://mattermark.com/app/data/87143/blue-pillar,No,,,,,61,56,5,9,43,18,42,147,212,-31,325,-55,,,,,,,180,,,,,,,,,,,77,76,1,76,1,10,9,11,10,7,43,260,256,2,239,9,1/1/2006,C,21000000,3/16/2015,14000000,indianapolis,indianapolis,indianapolis,IN,usa,NA,No,7,68,205882.35
BlueLight,Core,Government,education|mobile|public safety|security,B2B|B2C|SaaS,http://getbluelight.com,,Safety toolkit for the digital age.,,16,,16,-171,https://mattermark.com/app/data/246909/,No,,,,college students|location based services (lbs)|public safety,,,,,,,,31,21,48,17,82,,127,,403,,0,,,,,,,,,,,,176,174,1,172,2,2,3,-33,6,6,0,,,,,,,No Known Funding,,,,,,,,,,Yes,,,
